Record Info,Last Modified User,Last Modified Date,ID,Member Name,Primary Domain,Start Date,End Date,Funding Type,Status,Peer Reviewed?,Industry Grant?,Role,Short Title,Title,Application Summary,Grant Purpose,Area,Principal Investigator,Co-Investigators,Grant and/or Account #,Administered By,Funding Source,Project,Currency,Received Amount,Total Amount,Member Share,Monetary,Rpt,Hours Per Week,Personnel Paid,Rnw,Education Grant,Duplicate Reported,Other Details (doesn't print),Year
,"Parisian, Wendy",11/13/2014 1:13:09 PM,1295,"Borrie, Michael",Medicine,2006/08,2010/05,Grants,Funded,True,False,Principal Site Investigator,Antibiotics Doxycycline & Rifampin,"A Multi - Centre, Blinded, Randomized, Controlled Trial Comparing Different Regimens of the Antibiotics Doxycycline and Rifampin for Treatment of Alzheimer Disease",,Operating,Research,Molloy W.,"Borrie MB, Wells JL et al.",,,Canadian Institutes of Health Research (CIHR),,CAD = Canadian dollar,,"$48,330,731.00",,,0,,,0,False,False,,
,"McCallum, Judy",11/26/2013 1:42:14 PM,1296,"Borrie, Michael",Medicine,2005/01,2008/12,Grants,Funded,False,True,Principal Site Investigator,GenADA Long,"Multi - Site Collaborative Study for Genotype - Phenotype Associations in Alzheimer Disease – Genetic Alzheimer Disease Associations Longitudinal (GenADA Long) and Borrie MJ, Bartha R, Smith M. Longitudinal Imaging Substudy of GenADA.",,Clinical Trial,Research,Borrie MJ,Wells J.L.,,,GlaxoSmithKline,,,,"$60,133,352.00",,,0,,,0,False,False,,
,"Gould, Derrick",7/28/2011 3:04:09 PM,1297,"Borrie, Michael",Medicine,2005/01,2008/12,Grants,Funded,True,False,Principal Investigator,,4.0 Tesla 1H Magnetic Resonance Spectroscopy as a Marker of Alzheimer Disease Status and Progression,,Operating,Research,Borrie MJ,Wells JL,,,Physicians Services Incorporated Foundation (The) (PSI),,,,"$39,226,069.00",,,0,,,0,False,False,,
,"McCallum, Judy",11/26/2013 1:41:58 PM,1298,"Borrie, Michael",Medicine,2005/01,2008/12,Clinical Trials,Funded,False,True,Principal Site Investigator,1.5 T Substudy,Magnetic Resonance Imaging in Alzheimer Disease: Longitudinal Part of Genotype - Phenotype Associations in Alzheimer Disease,,Clinical Trial,Research,Borrie MJ,"Bartha R., Smith M.",,,GlaxoSmithKline,,,,"$70,675,968.00",,,0,,,0,False,False,,
,"Parisian, Wendy",5/10/2012 3:27:06 PM,1299,"Borrie, Michael",Medicine,2005,2006,Grants,Funded,True,False,Collaborator,Info Rehab,Info Rehab: Better Information for Better MSK Health and Quality of Life for Older Persons Summary of Research Proposal,,Operating,Research,Stolee P.,"Borrie M.J., Wells J.L., et al.",,,Canadian Institutes of Health Research (CIHR),,,,"$65,277,034.00",,,0,,,0,False,False,,
,"Honsinger, Brenda",2/9/2011 3:07:49 PM,1348,"Borrie, Michael",Medicine,2004/01,2008/02,Clinical Trials,Funded,False,True,Principal Site Investigator,EFC 2946 Xaliproden,"EFC 2946 Alzheimer Study: A Randomized, Multi - Centre, Double - Blind, Placebo - Controlled, 18 Month Study of Efficacy of Xaliproden in Patients with Mild to Moderate Dementia of Alzheimer’s Type",,Clinical Trial,Research,Borrie MJ,Wells J.L.,,,Sanofi-Synthelabo Canada Inc.,,,,"$25,915,866.00",,,0,,,0,False,False,,
,"Parisian, Wendy",12/21/2009 2:51:26 PM,1349,"Borrie, Michael",Medicine,2004/09,2005/12,Clinical Trials,Funded,False,True,Principal Site Investigator,Study No. 10158 Memantine,"A Randomized, Double - Blind, Parallel Group Study Examining the Efficacy and Safety of Memantine on Behavioural Symptoms in Patients with Moderate to Severe Dementia of the Alzheimer’s Type (Study No. 10158)",,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Lundbeck Canada Inc.,,,,"$33,676,514.00",,,0,,,0,False,,,
,"Honsinger, Brenda",2/9/2011 2:41:20 PM,1350,"Borrie, Michael",Medicine,2006/01,2007/10,Clinical Trials,Funded,False,True,Principal Site Investigator,Study No.10252,An Open - Label Extension Study Examining the Safety and Tolerability of Memantine in Patients with Moderate to Severe Dementia of the Alzheimer’s Type Having Completed Study No. 10158 (Study No. 10252),,Clinical Trial,Research,Borrie MJ,Wells JL,,,Lundbeck Canada Inc.,,CAD = Canadian dollar,,"$34,989,581.00",,,0,,,0,False,False,,
,"Honsinger, Brenda",2/9/2011 3:04:23 PM,1351,"Borrie, Michael",Medicine,2004/06,2007/05,Clinical Trials,Funded,False,True,Principal Site Investigator,ONO-2506PO,A Double - Blind Phase II Safety and Efficacy Evaluation of ONO - 2506PO in Patients with Mild to Moderate Alzheimer Disease,,Clinical Trial,Research,Borrie MJ,Wells J.L.,,,"Ono Pharmaceutical Co., Ltd. (Japan)",,,,"$46,008,762.00",,,0,,,0,False,False,,
,"Honsinger, Brenda",2/9/2011 3:05:04 PM,1352,"Borrie, Michael",Medicine,2004/01,2008/01,Clinical Trials,Funded,False,True,Principal Site Investigator,Phase III Alzhemed,A Phase III Study of the Efficacy and Safety of Alzhemed in Patients with Mild to Moderate Alzheimer Disease,,Clinical Trial,Research,Borrie MJ,Wells J.L.,,,Neurochem Inc.,,,,"$63,962,211.00",,,0,,,0,False,False,,
,"Honsinger, Brenda",2/9/2011 3:05:45 PM,1353,"Borrie, Michael",Medicine,2004/01,2006/01,Clinical Trials,Funded,False,True,Principal Site Investigator,Phase III MPC - 7869,"Phase III Multi - Centre, Randomized, Double - Blind, Placebo - Controlled Study of the Effect of Daily Treatment with MPC - 7869 on Measures of Cognitive and Global Function in Subjects with Mild to Moderate Dementia of the Alzheimer’s Type with Optional Follow - On After Month 12",,Clinical Trial,Research,Borrie MJ,Wells J.L.,,,Myriad Pharmaceuticals,,,,"$65,557,809.00",,,0,,,0,False,False,,
,"Parisian, Wendy",12/21/2009 4:00:01 PM,1355,"Borrie, Michael",Medicine,2004,2005,Clinical Trials,Funded,False,True,Principal Site Investigator,EFC5286 of SR57667B,Long - Term Extension of Phase II Study EFC5286 of SR57667B in Patients with Mild to Moderate Alzheimer Disease (LTS 5283),,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Sanofi-Synthelabo Canada Inc.,,,,"$46,556,310.00",,,0,,,0,False,,,
,"Honsinger, Brenda",2/9/2011 3:01:47 PM,1356,"Borrie, Michael",Medicine,2004/09,2007/09,Grants,Funded,True,False,Principal Investigator,,Markers for the Progression of Mild Cognitive Impairment (MCI) to Alzheimer Disease,,Operating,Research,Borrie MJ,"Smith M., Bartha R., Lee T.Y., Murtha S., Wells J., Stolee P., Rylett J.",,,"Parkwood Hospital Foundation (London, ON)",,,,"$16,738,226.00",,,0,,,0,False,False,,
,"Gould, Derrick",7/28/2011 3:02:33 PM,1357,"Borrie, Michael",Medicine,2004/01,2008/03,Grants,Funded,True,False,Co-Investigator,,Canadian Alzheimer Disease Quality of Life Study (CADQOL),,Clinical Trial,Research,Borrie MJ,Wells J.L.,,,Canadian Institutes of Health Research (CIHR),,,,"$69,493,012.00",,,0,,,0,False,False,,
,"Parisian, Wendy",12/21/2009 3:13:31 PM,1359,"Borrie, Michael",Medicine,2003,2005,Clinical Trials,Funded,False,True,Principal Site Investigator,Phase II MPC-7869,"Phase II Multi - Centre, Randomized, Double - Blind, Placebo - Controlled Study of the Effect of Daily Treatment with MPC-7869 on Measures of Cognitive and Global Function in Subjects with Mild to Moderate Dementia of the Alzheimer’s Type",,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Myriad Pharmaceuticals,,,,"$2,712,864.00",,,0,,,0,False,,,
Draft,"Parisian, Wendy",12/21/2009 3:40:00 PM,1360,"Borrie, Michael",Medicine,2003,2005,Clinical Trials,Funded,False,True,Principal Site Investigator,,Multi - Site Collaborative Study for Genotype - Phenotype Associations in Alzheimer Disease - Genetic Alzheimer Disease Associations (GenADA),,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,GlaxoSmithKline,,,,"$27,161,739.00",,,0,,,0,False,,,
,"Parisian, Wendy",12/21/2009 1:11:28 PM,1361,"Borrie, Michael",Medicine,2003,2005,Clinical Trials,Funded,False,True,Principal Site Investigator,MPC-7869,"Phase II Multi - Centre, Randomized, Double - Blind, Placebo - Controlled Study of the Effect of Daily Treatment with MPC-7869 on Measures of Cognitive and Global Function in Subjects with Mild to Moderate Dementia of the Alzheimer Type",,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Myriad Pharmaceuticals,,,,"$20,289,153.00",,,0,,,0,False,,,
,"Parisian, Wendy",12/22/2009 12:14:46 PM,1362,"Borrie, Michael",Medicine,2003/01,2005/01,Clinical Trials,Funded,False,True,Principal Site Investigator,NS 2330,"A Phase II Double - Blind, Randomized, Dose - Ranging, Placebo - Controlled, Multi - Centre, Safety and Efficacy Evaluation of Three Doses of NS 2330 in Patients with Mild to Moderate Dementia of the Alzheimer Type",,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Boehringer Ingelheim,,,,"$16,539,924.00",,,0,,,0,False,,,
,"Parisian, Wendy",12/22/2009 11:57:58 AM,1363,"Borrie, Michael",Medicine,2003/03,2004/11,Clinical Trials,Funded,False,True,Principal Site Investigator,SR57667B,"A Phase II, Multi - Centre, Multi - National, Randomized, Double - Blind, Placebo - Controlled, Efficacy, Safety and Tolerability Study of SR57667B in Patients with Mild - to - Moderate Alzheimer Disease",,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Sanofi-Synthelabo Canada Inc.,,,,"$9,804,336.00",,,0,,,0,False,,,
,"Parisian, Wendy",5/6/2011 11:46:47 AM,1364,"Borrie, Michael",Medicine,2003/04,2012/12,Grants,Funded,True,False,Principal Investigator,,Magnetic Resonance Spectroscopy as a Measurement of Response to Cholinergic Treatment in Alzheimer Disease - Pilot Study,,Clinical Trial,Research,Borrie MJ,"Smith M., Bartha R., Rylett J., Stolee P.",,,Lawson Health Research Institute,,,,"$6,461,761.00",,,0,,,0,False,False,,
,"Parisian, Wendy",8/18/2009 12:57:02 PM,1367,"Borrie, Michael",Medicine,2001,2003,Clinical Trials,Funded,False,False,Principal Investigator,,The Patterns and Prevalence of Depressive Symptoms in Mild Cognitive Impairment. An Add - On Randomized Clinical Trial with Galantamine (Investigator Initiated),,Clinical Trial,Research,,"Borrie M.J., Wells J.L., Smith M.",,,,,,,"$42,590,642.00",,,0,,,0,False,,,
,"Parisian, Wendy",12/22/2009 10:12:56 AM,1368,"Borrie, Michael",Medicine,2001,2004,Clinical Trials,Funded,False,True,Site Investigator,26-wk Galantamine (Gal-Int-26),"A Randomized, 26 Week Double - Blind, Placebo - Controlled Trial to Evaluate the Efficacy and Safety of Galantamine in the Treatment of Dementia Secondary to Cerebrovascular Disease (Gal-Int-26)",,Clinical Trial,Research,,Borrie M.J.,,,Janssen-Ortho Inc.,,,,"$42,618,373.00",,,0,,,0,False,,,
,"Parisian, Wendy",11/23/2009 3:05:10 PM,1369,"Borrie, Michael",Medicine,2001,2002,Clinical Trials,Funded,False,True,Principal Site Investigator,,Randomized Double - Blind Placebo - Controlled Trial to Evaluate the Efficacy and Safety of Galantamine in Subjects with Mild Cognitive Impairment Clinically at Risk for Development of Clinically Probably Alzheimer Disease (Gal-Int-11),,Clinical Trial,Research,,Borrie M.J.,,,,,,,"$33,035,385.00",,,0,,,0,False,,,
,"Parisian, Wendy",11/27/2009 10:49:24 AM,1370,"Borrie, Michael",Medicine,2000,2007,Clinical Trials,Funded,False,True,Principal Site Investigator,,Canadian Outcomes Study in Dementia (COSID),,Clinical Trial,Research,,"Borrie M.J., Wells J.L.",,,Janssen-Ortho Inc.,,,,"$47,167,918.00",,,0,,,0,False,,,
,"Leinweber-Miller, Shawn",4/18/2012 9:00:11 AM,1371,"Clark, William",Medicine,2007/07,2009/06,Grants,Funded,False,True,Co-Investigator,,Octapharma Pharmazeutika: A Blinded Non-Inferiority Study to Compare Uniplas with Cryosuprenatant Plasma in Thrombotic Thrombocytopenic Purpura,,Clinical Trial,Research,Gail Rock,William Clark,,,Health Canada,,,,"$32,757,081.00",,,0,,,0,False,False,,
,"Gould, Derrick",7/28/2011 3:04:32 PM,1372,"Clark, William",Medicine,2007/07,2010/06,Grants,Funded,False,True,Co-Investigator,,Rituximab: A Phase II Study Evaluating the Efficacy of Rituximab in the Management of Patients with Relapsed/Refractory TTP-HUS,,Clinical Trial,Research,Ronan Foley,"Clark WF, London Health Sciences Centre",,,Hoffman-LaRoche Limited,R-07-473,,,"$300,316.00",,,0,,,0,False,False,,
,"Gould, Derrick",7/28/2011 3:02:33 PM,1373,"Clark, William",Medicine,2006/07,2010/06,Grants,Funded,True,False,Co-investigator,,Data coordinating facility for clinical research in kidney diseases,,Operating,Research,Dr. Amit X. Garg,"Clark WF, London Health Sciences Centre",,,,,,,"$11,502,819.00",,,0,,,0,False,,,
,"Leinweber-Miller, Shawn",9/12/2013 10:24:03 AM,1374,"Clark, William",Medicine,2002/07,2010/12,Grants,Funded,True,False,Principal Investigator,The Walkerton Health Study,"A seven year prospective cohort study on the characterization and management of long-term Medical complications from E.coli 0157:H7 infection in Walkerton, Ontario",,Operating,Research,William Clark,"Clark WF, Garg AX, Howard J, Matsell J, Moist L, Salvadori M, Suri R in collaboration with Collins S, Marshall J",,,Ministry of Health & Long Term Care,,,,"$32,167,571.00",,,0,,,0,False,False,,
,"Gould, Derrick",7/28/2011 3:04:22 PM,1375,"Clark, William",Medicine,2003/07,2005/06,Grants,Funded,True,False,Co-investigator,,Long-term risk of abnormal glucose homeostasis after E.coli 0157:H7 gastroenteritis: The Walkerton Health Study,,Operating,Research,Dr. Rita Suri,,,,Canadian Diabetes Association,,,,"$67,749,516.00",,,0,,,0,False,,,
,"Cole, Cathy",9/22/2008 10:41:40 AM,1376,"Clark, William",Medicine,2003/07,2004/06,Grants,Funded,False,False,Principal Investigator,,To characterize high volume proteinuria with normal Albumin/creatinine ratio noted in 32 patients detected in the Walkerton Health Study,,Clinical Trial,Research,William Clark,"Clark WF, London Health Sciences Centre",,,"University of Western Ontario, Division of Nephrology Academic Fund",,,,"$44,050,379.00",,,0,,,0,False,,,
,"Gould, Derrick",7/28/2011 3:04:32 PM,1377,"Clark, William",Medicine,2001/07,2003/06,Grants,Funded,True,False,Principal Investigator,,Plasma exchange in myeloma and associated renal failure,,Operating,Research,William Clark,,,,Kidney Foundation of Canada (KFC),,,,"$3,767,520.00",,,0,,,0,False,,,
,"Gould, Derrick",7/28/2011 3:02:33 PM,1378,"Clark, William",Medicine,2001/07,2003/06,Grants,Funded,True,False,Principal Investigator,,Plasma exchange in myeloma and associated renal failure,,Operating,Research,William Clark,,,,Canadian Institutes of Health Research (CIHR),,,,"$9,072,833.00",,,0,,,0,False,,,
,"Gould, Derrick",7/28/2011 3:02:33 PM,1379,"Clark, William",Medicine,2000/07,2003/06,Grants,Funded,True,False,Co-investigator,,Comparison of solvent detergent vs cryosupernatant plasma in TTP,,Operating,Research,Dr. Gail Rock,,,,Canadian Institutes of Health Research (CIHR) and Canadian Blood Services,,,,"$11,271,034.00",,,0,,,0,False,,,
,"Gould, Derrick",7/28/2011 3:02:33 PM,1380,"Clark, William",Medicine,1998/07,2001/06,Grants,Funded,True,False,Principal Investigator,,Plasma exchange in myeloma associated with renal failure,,Operating,Research,William Clark,,,,Canadian Institutes of Health Research (CIHR),,,,"$47,044,874.00",,,0,,,0,False,,,
,"Gould, Derrick",7/28/2011 3:04:54 PM,1381,"Clark, William",Medicine,1998/07,2000/06,Grants,Funded,False,False,Co-investigator,,Study of cryosupernatant plasma vs fresh frozen plasma as a replacement fluid in plasma exchange for TTP and HUS,,Operating,Research,Dr. Gail Rock,,,,Canadian Blood Agency/ Bayer Pharmaceuticals,,,,"$28,540,340.00",,,0,,,0,False,,,
